"RowNumber","Institutional code","Name of Organisation","Country","City"
"26","A  KREMS02","INTERNATIONALES KOLLEG FUR TOURISMUS UND MANAGEMENT - ITM GMBH","AT","Semmering"
"27","A  KREMS03","IMC FACHHOCHSCHULE KREMS GESMBH","AT","Krems"
"28","A  KUFSTEI01","FHS KUFSTEIN TIROL BILDUNGS - GMBH","AT","Kufstein"
"29","A  LEOBEN01","MONTANUNIVERSITAET LEOBEN ","AT","Leoben"
"30","A  LINZ01","JOHANNES KEPLER UNIVERSITAET LINZ","AT","Linz"
"31","A  LINZ02","UNIVERSITAET FUER KUENSTLERISCHE UND INDUSTRIELLE GESTALTUNG LINZ","AT","Linz"
"32","A  LINZ03","PAEDAGOGISCHE HOCHSCHULE OBEROESTERREICH","AT","LINZ"
"33","A  LINZ04","PRIVATE PAEDAGOGISCHE HOCHSCHULE DER DIÖZESE LINZ","AT","Linz"
"34","A  LINZ11","KATHOLISCH-THEOLOGISCHE PRIVATUNIVERSITÄT LINZ","AT","LINZ"
"35","A  LINZ17","Anton Bruckner Privatuniversitaet fuer Musik, Schauspiel und Tanz","AT","Linz"
"36","A  LINZ23","FH GESUNDHEITSBERUFE OÖ GMBH ","AT","LINZ"
"37","A  SALZBUR01","UNIVERSITAET SALZBURG","AT","Salzburg"
"38","A  SALZBUR02","UNIVERSITÄT MOZARTEUM SALZBURG","AT","Salzburg"
"39","A  SALZBUR03","PAEDAGOGISCHE HOCHSCHULE SALZBURG","AT","Salzburg"
"40","A  SALZBUR08","FACHHOCHSCHULE SALZBURG  GMBH","AT","Puch/Salzburg"
"41","A  SPITTAL01","FACHHOCHSCHULE KAERNTEN GEMEINNUETZIGE PRIVATSTIFTUNG","AT","Spittal/Drau"
"42","A  ST-POLT03","FACHHOCHSCHULE ST. PÖLTEN GMBH","AT","ST. PÖLTEN"
"43","A  WELS01","FH OBEROESTERREICH STUDIENBETRIEBSGMBH","AT","Wels"
"44","A  WIEN01","UNIVERSITAET WIEN","AT","Wien"
"45","A  WIEN02","TECHNISCHE UNIVERSITÄT WIEN","AT","Wien"
"46","A  WIEN03","UNIVERSITAT FUR BODENKULTUR WIEN","AT","Wien"
"47","A  WIEN04","VETERINAERMEDIZINISCHE UNIVERSITAET WIEN","AT","Wien"
"48","A  WIEN05","WIRTSCHAFTSUNIVERSITAET WIEN","AT","Wien"
"49","A  WIEN06","AKADEMIE DER BILDENDEN KUENSTE WIEN","AT","WIEN"
"50","A  WIEN07","UNIVERSITAET FUER ANGEWANDTE KUNST WIEN","AT","Wien"
"51","A  WIEN08","UNIVERSITAT FUR MUSIK UND DARSTELLENDE KUNST WIEN","AT","Wien"
"52","A  WIEN09","PAEDAGOGISCHE HOCHSCHULE WIEN","AT","Wien"
"53","A  WIEN10","KIRCHLICHE PAEDAGOGISCHE HOCHSCHULE WIEN/KREMS","AT","Wien"
"54","A  WIEN15","HOCHSCHULE FÜR AGRAR- UND UMWELTPÄDAGOGIK","AT","Wien"
"55","A  WIEN20","FACHHOCHSCHULE TECHNIKUM WIEN","AT","Wien"
"56","A  WIEN21","FACHHOCHSCHUL-STUDIENGANGE BETRIEBS- UND FORSCHUNGSEINRICHTUNGEN DER WIENER WIRTSCHAFT GMBH","AT","Vienna "
"57","A  WIEN36","EUROPA-WIRTSCHAFTSSCHULEN GESELLSCHAFT M.B.H.","AT","Wien"
"58","A  WIEN38","FACHHOCHSCHULE DES BFI WIEN GESELLSCHAFT M.B.H.","AT","WIEN"
"59","A  WIEN52","KONSERVATORIUM WIEN PRIVATUNIVERSITÄT","AT","Vienna"
"60","A  WIEN63","FH CAMPUS WIEN - VEREIN ZUR FÖRDERUNG DES FACHHOCHSCHUL-, ENTWICKLUNGS- UND FORSCHUNGSZENTRUMS IM SÜDEN WIENS","AT","Wien"
"61","A  WIEN64","MEDIZINISCHE UNIVERSITAET WIEN","AT","Wien"
"62","A  WIEN66","MODUL UNIVERSITY VIENNA","AT","VIENNA"
"63","A  WIEN68","SIGMUND FREUD PRIVATUNIVERSITÄT","AT","VIENNA"
"64","A  WIEN69","PRIVATER STUDIENGANG FÜR DAS LEHRAMT FÜR ISLAMISCHE RELIGION AN PFLICHTSCHULEN","AT","WIEN"
"65","A  WIENER01","FACHHOCHSCHULE WIENER NEUSTADT FÜR WIRTSCHAFT UND TECHNIK GMBH. (FHWN)","AT","WIENER NEUSTADT"
"66","A  WIENER04","THERESIANISCHE MILITÄRAKADEMIE - FACHHOCHSCHUL-BACHELORSTUDIENGANG MILITÄRISCHE FÜHRUNG","AT","WR. NEUSTADT"
"67","B  ANTWERP01","UNIVERSITEIT ANTWERPEN","BE","ANTWERPEN"
"68","B  ANTWERP57","ARTESIS HOGESCHOOL ANTWERPEN","BE","ANTWERPEN"
"69","B  ANTWERP58","PLANTIJNHOGESCHOOL VAN DE PROVINCIE ANTWERPEN","BE","ANTWERPEN"
"70","B  ANTWERP59","KAREL DE GROTE HOGESCHOOL, KATHOLIEKE HOGESCHOOL ANTWERPEN, VZW","BE","ANTWERPEN"
"71","B  ANTWERP60","LESSIUS ANTWERPEN","BE","ANTWERPEN"
"72","B  ANTWERP61","HOGERE ZEEVAARTSCHOOL","BE","Antwerpen"
"73","B  ARLON09","HAUTE ECOLE ROBERT SCHUMAN","BE","LIBRAMONT"
"74","B  BRUGGE11","KATHOLIEKE HOGESCHOOL BRUGGE-OOSTENDE","BE","BRUGGE"
"75","B  BRUSSEL01","VRIJE UNIVERSITEIT BRUSSEL","BE","BRUSSEL"
"76","B  BRUSSEL02","HUB-KUBRUSSEL","BE","BRUSSEL"
"77","B  BRUSSEL05","HUB-EHSAL","BE","BRUSSEL"
"78","B  BRUSSEL37","HOGESCHOOL SINT-LUKAS BRUSSEL","BE","Brussels"
"79","B  BRUSSEL43","HOGESCHOOL VOOR WETENSCHAP & KUNST","BE","BRUSSEL"
"80","B  BRUSSEL46","ERASMUSHOGESCHOOL BRUSSEL","BE","BRUSSEL"
"81","B  BRUXEL01","ECOLE ROYALE MILITAIRE - KONINKLIJKE MILITAIRE SCHOOL","BE","BRUXELLES"
"82","B  BRUXEL02","FACULTES UNIVERSITAIRES SAINT-LOUIS","BE","BRUXELLES"
"83","B  BRUXEL04","UNIVERSITÉ LIBRE DE BRUXELLES","BE","BRUXELLES"
"84","B  BRUXEL05","ACADEMIE ROYALE DES BEAUX-ARTS DE BRUXELLES, ECOLE SUPÉRIEURE DES ARTS","BE","BRUXELLES"
"85","B  BRUXEL07","CONSERVATOIRE ROYAL DE BRUXELLES","BE","Bruxelles"
"86","B  BRUXEL15","ECOLE NATIONALE SUPÉRIEURE DES ARTS VISUELS DE LA CAMBRE","BE","BRUXELLES"
"87","B  BRUXEL28","ECOLE COMMUNALE D'ENSEIGNEMENT SUPERIEUR DES ARTS DE L'IMAGE "LE 75"","BE","BRUXELLES"
"88","B  BRUXEL81","HAUTE ECOLE COMMUNAUTE FRANCAISE BRUXELLES","BE","BRUXELLES"
"89","B  BRUXEL82","HAUTE ECOLE EPHEC","BE","BRUXELLES"
"90","B  BRUXEL83 ","HAUTE ECOLE FRANCISCO FERRER","BE","BRUXELLES"
"91","B  BRUXEL84","HAUTE ECOLE GALILEE","BE","Bruxelles"
"92","B  BRUXEL85","HAUTE ECOLE LIBRE DE BRUXELLES ILYA PRIGOGINE ASBL","BE","Bruxelles"
"93","B  BRUXEL86","HAUTE ECOLE 'GROUPE ICHEC-ISC SAINT LOUIS-ISFSC'","BE","Bruxelles"
"94","B  BRUXEL87","HAUTE ECOLE LEONARD DE VINCI","BE","BRUXELLES"
"95","B  BRUXEL88","HAUTE ECOLE LUCIA DE BROUCKERE","BE","BRUXELLES"
"96","B  BRUXEL89","HAUTE ECOLE PAUL-HENRI SPAAK","BE","BRUXELLES"
"97","B  BRUXEL90","ECOLE SUPÉRIEURE DES ARTS SAINT-LUC BRUXELLES","BE","Bruxelles"
"98","B  BRUXEL91","ERG-ESA (ECOLE DE RECHERCHE GRAPHIQUE - ECOLE SUPÉRIEURE DES ARTS","BE","Bruxelles"
"99","B  DIEPENB01","UNIVERSITEIT HASSELT","BE","Diepenbeek"
"100","B  DIEPENB07","TRANSNATIONALE UNIVERSITEIT  LIMBURG","BE","Diepenbeek"
"101","B  EUPEN04","AUTONOME HOCHSCHULE IN DER DEUTSCHSPRACHIGEN GEMEINSCHAFT","BE","EUPEN"
"102","B  GEEL07","THOMAS MORE KEMPEN","BE","GEEL"
"103","B  GENT01","UNIVERSITEIT GENT","BE","GENT"
"104","B  GENT16","KATHOLIEKE HOGESCHOOL SINT-LIEVEN","BE","GENT"
"105","B  GENT25","HOGESCHOOL GENT","BE","GENT"
"106","B  GENT39","ARTEVELDEHOGESCHOOL ","BE","Gent"
"107","B  HASSELT03","XIOS HOGESCHOOL LIMBURG","BE","Diepenbeek"
"108","B  HASSELT20","KATHOLIEKE HOGESCHOOL LIMBURG vzw","BE","DIEPENBEEK"
"109","B  HASSELT21","PROVINCIALE HOGESCHOOL LIMBURG","BE","HASSELT"
"110","B  HEVERLE05","EVANGELISCHE THEOLOGISCHE FACULTEIT ","BE","HEVERLEE (LEUVEN)"
"111","B  KORTRIJ01","KATHOLIEKE HOGESCHOOL ZUID-WEST-VLAANDEREN","BE","KORTRIJK"
"112","B  KORTRIJ03","HOGESCHOOL WEST-VLAANDEREN","BE","Kortrijk"
"113","B  LEUVEN01","KATHOLIEKE UNIVERSITEIT LEUVEN","BE","LEUVEN"
"114","B  LEUVEN04","GROEP T - INTERNATIONALE HOGESCHOOL LEUVEN","BE","Leuven"
"115","B  LEUVEN18","KATHOLIEKE HOGESCHOOL LEUVEN ","BE","Leuven (Heverlee)"
"116","B  LIEGE01","UNIVERSITÉ DE LIÈGE","BE","LIÈGE"
"117","B  LIEGE02","ACADEMIE ROYALE DES BEAUX-ARTS DE LIEGE (ECOLE SUPERIEURE DES ARTS DE LA VILLE DE LIEGE)","BE","LIEGE"
"118","B  LIEGE03","CONSERVATOIRE ROYAL DE LIEGE","BE","Liege"
"119","B  LIEGE07","ECOLE SUPERIEURE DES ARTS SAINT-LUC DE LIEGE","BE","LIEGE"
"120","B  LIEGE37","HAUTE ECOLE LIBRE MOSANE (HELMO)","BE","LIEGE"
"121","B  LIEGE38","HAUTE ECOLE DE LA PROVINCE DE LIEGE","BE","JEMEPPE"
"122","B  LIEGE42","HAUTE ECOLE DE LA VILLE DE LIEGE","BE","LIEGE"
"123","B  LIEGE43","HAUTE ECOLE CHARLEMAGNE  ","BE","LIÈGE"
"124","B  LOUVAIN01","UNIVERSITÉ CATHOLIQUE DE LOUVAIN","BE","LOUVAIN-LA-NEUVE"
"125","B  MECHELE14","THOMAS MORE MECHELEN","BE","MECHELEN"
"126","B  MONS20","HAUTE ECOLE de la Communaute francaise EN HAINAUT","BE","MONS"
"127","B  MONS21","UNIVERSITÉ DE MONS","BE","MONS"
"128","B  MONS22","HAUTE ECOLE LOUVAIN EN HAINAUT","BE","MONS"
"129","B  MONS23","HAUTE ECOLE PROVINCIALE DU HAINAUT-CONDORCET  ","BE","MONS"
"130","B  NAMUR01","FACULTES UNIVERSITAIRES NOTRE-DAME DE LA PAIX","BE","Namur"
"131","B  NAMUR11","HAUTE ECOLE ALBERT JACQUARD","BE","Namur"
"132","B  NAMUR13","IMEP NAMUR","BE","NAMUR"
"133","B  NAMUR14","LA HAUTE ECOLE DE LA PROVINCE DE NAMUR (HEPN)","BE","NAMUR"
"134","B  NAMUR15 ","HAUTE ECOLE DE NAMUR-LIÈGE-LUXEMBOURG","BE","NAMUR"
"135","B  TOURNAI01","ACADEMIE DES BEAUX-ARTS DE LA VILLE DE TOURNAI","BE","TOURNAI"
"136","BG ALBENA01","INTERNATIONAL UNIVERSITY COLLEGE","BG","DOBRICH"
"137","BG BLAGOEV02","UGOZAPADEN  UNIVERSITET 'NEOPHIT RILSKI' - BLAGOEVGRAD, BULGARIA","BG","BLAGOEVGRAD"
"138","BG BLAGOEV03","AMERICAN UNIVERSITY IN BULGARIA","BG","BLAGOEVGRAD"
"139","BG BOTEVGR02","INTERNATIONAL BUSINESS SCHOOL","BG","BOTEVGRAD"
"140","BG BOURGAS01","BURGASKI SVOBODEN UNIVERSITET","BG","BURGAS"
"141","BG BOURGAS02","PROF. DR. ASSEN ZLATAROV UNIVERSITY","BG","BURGAS"
"142","BG GABROVO01","TEHNITSCHESKI UNIVERSITET GABROVO","BG","GABROVO"
"143","BG PLEVEN01","Meditsinski Universitet - Pleven","BG","PLEVEN"
"144","BG PLOVDIV01","AGRAREN UNIVERSITET - PLOVDIV","BG","PLOVDIV"
"145","BG PLOVDIV02","MEDITCINSKY UNIVERSITET - PLOVDIV","BG","PLOVDIV"
"146","BG PLOVDIV04","PLOVDIVSKI UNIVERSITET "PAISII HILENDARSKI"","BG","PLOVDIV"
"147","BG PLOVDIV05","UNIVERSITY OF FOOD TECHNOLOGIES","BG","Plovdiv"
"148","BG PLOVDIV07","AKADEMIYA ZA MUZIKALNO, TANTSOVO I IZOBRAZITELNO IZKUSTVO","BG","PLOVDIV"
"149","BG PLOVDIV09","UNIVERSITY OF AGRIBUSINESS AND RURAL DEVELOPMENT","BG","PLOVDIV"
"150","BG ROUSSE01","RUSENSKI UNIVERSITET "ANGEL KANCHEV" ","BG","ROUSSE"
"151","BG SHOUMEN01","SHUMENSKI UNIVERSITET EPISKOP KONSTANTIN PRESLAVSKI","BG","SHUMEN"
"152","BG SOFIA02","NOV BULGARSKI UNIVERSITET","BG","SOFIA"
"153","BG SOFIA03","UNIVERSITY OF NATIONAL AND WORLD ECONOMY","BG","Sofia"
"154","BG SOFIA04","UNIVERSITET PO ARCHITECTURA, STROITELSTVO I GEODESIA","BG","SOFIA"
"155","BG SOFIA06","SOFIISKI UNIVERSITET "SVETI KLIMENT OHRIDSKI"","BG","SOFIA"
"156","BG SOFIA08","НАЦИОНАЛНА ХУДОЖЕСТВЕНА АКАДЕМИЯ","BG","SOFIA"
"157","BG SOFIA09","MINNO-GEOLOGKI UNIVERSITET "SV. IVAN RILSKI"","BG","SOFIA"
"158","BG SOFIA11","MEDITSINSKI UNIVERSITET -SOFIA","BG","SOFIA "
"159","BG SOFIA12","LESOTEHNITCHESKI UNIVERSITET","BG","SOFIA"
"160","BG SOFIA13","НАЦИОНАЛНА МУЗИКАЛНА АКАДЕМИЯ "ПРОФ.ПАНЧО ВЛАДИГЕРОВ"","BG","SOFIA"
"161","BG SOFIA16","TEHNICHESKI UNIVERSITET SOFIA","BG","SOFIA"
"162","BG SOFIA17","NATZIONALNA SPORTNA AKADEMIA "VASIL LEVSKI"","BG","SOFIA"
"163","BG SOFIA18","NATZIONALNA AKADEMIYA ZA TEATRALNO I FILMOVO IZKUSTVO "KRUSTYO SARAFOV" (NATFIZ)","BG","SOFIA"
"164","BG SOFIA20","CHIMIKOTECHNOLOGICHEN I METALURGICHEN UNIVERSITET","BG","SOFIA"
"165","BG SOFIA21","VISSHE STROITELNO UCHILISHTE 'LYUBEN KARAVELOV' - SOFIA","BG","SOFIA"
"166","BG SOFIA22","VISSHE TRANSPORTNO UCHILISHTE 'TODOR KABLESHKOV', SOFIA","BG","SOFIA"
"167","BG SOFIA24","СПЕЦИАЛИЗИРАНО ВИСШЕ УЧИЛИЩЕ ПО БИБЛИОТЕКОЗНАНИЕ И ИНФОРМАЦИОННИ ТЕХНОЛОГИИ – СОФИЯ","BG","SOFIA"
"168","BG SOFIA26","COLLEGE OF MANAGEMENT, TRADE AND MARKETING - SOFIA (MT&M COLLEGE-SOFIA)","BG","SOFIA"
"169","BG SOFIA28","KOLEZH PO TELEKOMUNIKATSII I POSHTI","BG","SOFIA"
"170","BG SOFIA30","BALGARSKA AKADEMIA NA NAUKITE","BG","SOFIA"
"171","BG SOFIA31","VISCHE UCHILISTE PO ZASTRAHOVANE I FINANSI (VUZF)","BG","SOFIA"
"172","BG SOFIA32","АКАДЕМИЯ НА МИНИСТЕРСТВО НА ВЪТРЕШНИТЕ РАБОТИ","BG","SOFIA"
"173","BG STARA-Z01","TRAKIYSKI UNIVERSITET","BG","STARA ZAGORA"
"174","BG SVISHTO02","STOPANSKA AKADEMIA "D.A.TSENOV"","BG","SVISHTOV"
"175","BG VARNA01","VARNENSKI SVOBODEN UNIVERSITET "CHERNORIZETS HRABAR"","BG","VARNA"
"176","BG VARNA02","TEHNICHESKI UNIVERSITET - VARNA","BG","VARNA"
"177","BG VARNA03","MEDITSINSKI UNIVERSITET - VARNA","BG","VARNA"
"178","BG VARNA04","IKONOMICHESKI UNIVERSITET - VARNA","BG","VARNA"
"179","BG VARNA05","ВИСШЕ ВОЕННОМОРСКО УЧИЛИЩЕ "Н. Й. ВАПЦАРОВ"","BG","VARNA"
"180","BG VELIKO01","VELIKOTURNOVSKI UNIVERSITET SV. SV. KIRIL I METODII","BG","Veliko Turnovo"
"181","BG VELIKO02","NATZIONALEN VOENEN UNIVERSITET VASSIL LEVSKI","BG","VELIKO TARNOVO"
"182","CH BASEL01","UNIVERSITÄT BASEL","CH","BASEL"
"183","CH BELLINZ01","SCUOLA SUPERIORE ALBERGHIERA E DEL TURISMO","CH","BELLINZONA"
"184","CH BERN01","UNIVERSITÄT BERN","CH","BERN"
"185","CH BERN11","BERNER FACHHOCHSCHULE","CH","BERN"
"186","CH BERN12","PÄDAGOGISCHE HOCHSCHULE PHBERN","CH","BERN"
"187","CH BERN13","BERNER BILDUNGSZENTRUM PFLEGE","CH","BERN"
"188","CH BRUGG02","FACHHOCHSCHULE NORDWESTSCHWEIZ","CH","BRUGG"
"189","CH CHUR03","THEOLOGISCHE HOCHSCHULE CHUR","CH","CHUR"
"190","CH DELEMON02","HAUTE ÉCOLE SPÉCIALISÉE DE SUISSE OCCIDENTALE","CH","DELÉMONT"
"191","CH FRIBOUR01","UNIVERSITÉ DE FRIBOURG - UNIVERSITÄT FREIBURG","CH","FRIBOURG"
"192","CH FRIBOUR04","HAUTE ÉCOLE PÉDAGOGIQUE FRIBOURGEOISE (HEP FR)/ PÄDAGOGISCHE HOCHSCHULE FREIBURG (PH FR)","CH","FRIBOURG"
"193","CH GENEVE01","UNIVERSITÉ DE GENÈVE","CH","GENÈVE"
"194","CH LAUSANN01","UNIVERSITÉ DE LAUSANNE","CH","LAUSANNE"
"195","CH LAUSANN06","ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE","CH","LAUSANNE"
"196","CH LAUSANN11","HAUTE ÉCOLE PÉDAGOGIQUE DU CANTON DE VAUD","CH","LAUSANNE"
"197","CH LAUSANN13","ECOLE SUPÉRIEURE EN EDUCATION SOCIALE - ÉS-L","CH","LAUSANNE"
"198","CH LUGANO01","UNIVERSITÀ DELLA SVIZZERA ITALIANA","CH","LUGANO"
"199","CH LUGANO02","SCUOLA UNIVERSITARIA PROFESSIONALE DELLA SVIZZERA ITALIANA","CH","MANNO"
"200","CH LUZERN01","UNIVERSITÄT LUZERN","CH","LUZERN"
"201","CH LUZERN13","PÄDAGOGISCHE HOCHSCHULE ZENTRALSCHWEIZ","CH","LUZERN"
"202","CH LUZERN14","HOCHSCHULE LUZERN","CH","LUCERNE"
"203","CH NEUCHAT01","UNIVERSITÉ DE NEUCHÂTEL","CH","NEUCHÂTEL"
"204","CH SION05","INSTITUT UNIVERSITAIRE KURT BÖSCH","CH","SION 4"
"205","CH ST.GALL08","FHO FACHHOCHSCHULE OSTSCHWEIZ","CH","ST.GALLEN"
"206","CH ST-GALL09","UNIVERSITÄT ST. GALLEN","CH","ST. GALLEN"
"207","CH ST-GALL11","PÄDAGOGISCHE HOCHSCHULE ST.GALLEN PHSG","CH","ST.GALLEN"
"208","CH ST-MAUR01","HAUTE ECOLE PÉDAGOGIQUE DU VALAIS","CH","ST-MAURICE"
"209","CH THURGAU01","PÄDAGOGISCHE HOCHSCHULE THURGAU","CH","KREUZLINGEN 2"
"210","CH WINTERT03","ZÜRCHER HOCHSCHULE FÜR ANGEWANDTE WISSENSCHAFTEN ZHAW","CH","WINTERTHUR"
"211","CH YVERDON02","CPNV - CENTRE PROFESSIONNEL DU NORD VAUDOIS","CH","YVERDON-LES-BAINS"
"212","CH ZURICH01","UNIVERSITÄT ZÜRICH","CH","ZÜRICH"
"213","CH ZURICH07","ETH ZÜRICH","CH","ZÜRICH"
"214","CH ZURICH17","INTERKANTONALE HOCHSCHULE FÜR HEILPÄDAGOGIK ZÜRICH","CH","ZÜRICH"
"215","CH ZURICH20","ZÜRCHER HOCHSCHULE DER KÜNSTE","CH","ZÜRICH"
"216","CH ZURICH21","PÄDAGOGISCHE HOCHSCHULE ZÜRICH","CH","ZÜRICH"
"217","CH ZURICH22","F+F SCHULE FÜR KUNST UND MEDIENDESIGN ZÜRICH","CH","ZÜRICH"
"218","CY LARNACA01","PA COLLEGE","CY","Larnaca"
"219","CY LEFKOSI01","ΑΝΟΙΚΤΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΥΠΡΟΥ","CY","LEFKOSIA"
"220","CY LEFKOSI02","THE CYPRUS INSTITUTE","CY","LEFKOSIA"
"221","CY LIMASSO02","TEXNOLOGIKO PANEPISTIMIO KYPROU","CY","LIMASSOL"
"222","CY LIMASSO03","THE LIMASSOL COLLEGE - T.L.C.","CY","LIMASSOL"
"223","CY NICOSIA01","PANEPISTIMIO KYPROU","CY","NICOSIA"
"224","CY NICOSIA10","COLLEGE OF TOURISM AND HOTEL MANAGEMENT","CY","NICOSIA"
"225","CY NICOSIA11","CYPRUS COLLEGE - NICOSIA","CY","Nicosia"
"226","CY NICOSIA13","FREDERICK INSTITUTE OF TECHNOLOGY","CY","Nicosia"
"227","CY NICOSIA14","UNIVERSITY OF NICOSIA","CY","Nicosia"
"228","CY NICOSIA15","PHILIPS COLLEGE","CY","Nicosia"
"229","CY NICOSIA22","AMERICAN COLLEGE","CY","Nicosia"
"230","CY NICOSIA23","FREDERICK UNIVERSITY ","CY","NICOSIA"
"231","CY NICOSIA24","EUROPEAN UNIVERSITY CYPRUS","CY","NICOSIA"
"232","CY NICOSIA25","KES COLLEGE","CY","NICOSIA"
"233","CY NICOSIA26","INTERCOLLEGE - CYPRUS","CY","NICOSIA"
"234","CY PAFOS01","NEAPOLIS UNIVERSITY PAFOS","CY","PAFOS"
"235","CZ BRNO01","VYSOKÉ UCENÍ TECHNICKÉ V BRNE","CZ","BRNO"
"236","CZ BRNO02","MENDELOVA ZEMEDELSKÁ A LESNICKÁ UNIVERZITA V BRNO","CZ","Brno"
"237","CZ BRNO03","JANACKOVA AKADEMIE MUZICKYCH UMENI V BRNE","CZ","Brno"
"238","CZ BRNO05","MASARYKOVA UNIVERZITA","CZ","BRNO"
"239","CZ BRNO06","VETERINARNI A FARMACEUTICKA UNIVERZITA  BRNO","CZ","Brno"
"240","CZ BRNO08","NEWTON COLLEGE, A.S.","CZ","Brno"
"241","CZ BRNO10","UNIVERZITA OBRANY","CZ","BRNO"
"242","CZ BRNO11","VYSOKÁ ŠKOLA KARLA ENGLIŠE, A.S.","CZ","BRNO"
"243","CZ BRNO12","VYSOKÁ ŠKOLA OBCHODNÍ A HOTELOVÁ, S.R.O.","CZ","BRNO"
"244","CZ CESKE01","JIHOCESKÁ UNIVERZITA V CESKÝCH BUDEJOVICÍCH","CZ","Ceske Budejovice"
"245","CZ CESKE04","VYSOKÁ SKOLA TECHNICKÁ A EKONOMICKÁ V CESKYCH BUDEJOVICÍCH","CZ","CESKE BUDEJOVICE"
"246","CZ HRADEC01","UNIVERZITA  HRADEC KRÁLOVÉ","CZ","HRADEC KRÁLOVÉ"
"247","CZ JIHLAVA02","VYSOKA SKOLA POLYTECHNICKA JIHLAVA","CZ","JIHLAVA"
"248","CZ KARLOVY01","VYSOKÁ ŠKOLA KARLOVY VARY, O.P.S.","CZ","KARLOVY VARY"
"249","CZ KOLIN01","ACADEMIA RERUM CIVILIUM VYSOKÁ ŠKOLA POLITICKÝCH A SPOLEČENSKÝCH VĚD S.R.O.","CZ","KOLÍN "
"250","CZ LIBEREC01","TECHNICKÁ UNIVERZITA  V LIBERCI","CZ","LIBEREC"
"251","CZ MELNIK01","ČESKÁ ZAHRADNICKÁ AKADEMIE MĚLNÍK - STŘEDNÍ ŠKOLA A VYŠŠÍ ODBORNÁ ŠKOLA, PŘÍSPĚVKOVÁ ORGANIZACE","CZ","Melnik"
"252","CZ MLADA01","SKODA AUTO A. S. VYSOKA SKOLA","CZ","MLADÁ BOLESLAV"
"253","CZ OLOMOUC01","UNIVERZITA PALACKEHO V OLOMOUCI","CZ","Olomouc"
"254","CZ OLOMOUC02","CARITAS - VYSSI ODBORNA SKOLA SOCIALNI","CZ","OLOMOUC"
"255","CZ OLOMOUC03","MORAVSKÁ VYSOKÁ ŠKOLA OLOMOUC, O.P.S.","CZ","OLOMOUC"
"256","CZ OPAVA01","SLEZSKÁ UNIVERZITA V OPAVE","CZ","OPAVA"
